content,label,tokens
什么是电气一次设备和一次回路,1,"['什么', '是', '电气', '一次', '设备', '和', '一次', '回路']"
一次设备是指直接生产输送和分配电能的高压电气设备它包括发电机变压器断路器隔离开关自动开关接触器刀开关母线输电线路电力电缆电抗器电动机等,0,"['一次', '设备', '是', '指', '直接', '生产', '输送', '和', '分配', '电能', '的', '高压', '电气设备', '它', '包括', '发电机', '变压器', '断路器', '隔离', '开关', '自动开关', '接触器', '刀开关', '母线', '输电', '线路', '电力电缆', '电抗器', '电动机', '等']"
由一次设备相互连接构成发电输电配电或进行其它生产的电气回路称为一次回路或一次接线系统,0,"['由', '一次', '设备', '相互连接', '构成', '发电', '输电', '配电', '或', '进行', '其它', '生产', '的', '电气', '回路', '称为', '一次', '回路', '或', '一次', '接线', '系统']"
什么是电气二次设备和二次回路,1,"['什么', '是', '电气', '二次', '设备', '和', '二次', '回路']"
二次设备是指对一次设备的工作进行监测控制调节保护以及为运行维护人员提供运行工况或生产指挥信号所需的低压电气设备如熔断器控制开关继电器控制电缆等,0,"['二次', '设备', '是', '指', '对', '一次', '设备', '的', '工作', '进行', '监测', '控制', '调节', '保护', '以及', '为', '运行', '维护', '人员', '提供', '运行', '工况', '或', '生产', '指挥', '信号', '所', '需', '的', '低压', '电气设备', '如', '熔断器', '控制', '开关', '继电器', '控制', '电缆', '等']"
由二次设备相互连接构成对一次设备进行监测控制调节和保护的电气回路称为二次回路或二次接线系统,0,"['由', '二次', '设备', '相互连接', '构成', '对', '一次', '设备', '进行', '监测', '控制', '调节', '和', '保护', '的', '电气', '回路', '称为', '二次', '回路', '或', '二次', '接线', '系统']"
哪些回路属于连接保护装置的二次回路,1,"['哪些', '回路', '属于', '连接', '保护装置', '的', '二次', '回路']"
连接保护装置的二次回路有以下几种回路,0,"['连接', '保护装置', '的', '二次', '回路', '有', '以下', '几种', '回路']"
模拟量输入回路从电流互感器电压互感器二次侧端子开始到有关继电保护装置的二次回路对多油断路器或变压器等套管互感器自端子箱开始,0,"['模拟量', '输入', '回路', '从', '电流', '互感器', '电压', '互感器', '二次', '侧', '端子', '开始', '到', '有关', '继电保护', '装置', '的', '二次', '回路', '对多油', '断路器', '或', '变压器', '等', '套管', '互感器', '自', '端子', '箱', '开始']"
电源回路从继电保护直流分路熔丝开始到有关保护装置的二次回路,0,"['电源', '回路', '从', '继电保护', '直流', '分路', '熔丝', '开始', '到', '有关', '保护装置', '的', '二次', '回路']"
信号回路从保护装置到控制屏和中央信号屏间的直流回路,0,"['信号', '回路', '从', '保护装置', '到', '控制屏', '和', '中央', '信号', '屏间', '的', '直流', '回路']"
控制回路继电保护装置出口端子排到断路器操作箱端子排的跳合闸回路,0,"['控制', '回路', '继电保护', '装置', '出口', '端子', '排', '到', '断路器', '操作', '箱', '端子', '排', '的', '跳', '合闸', '回路']"
二次回路的电路图按任务不同可分为几种,1,"['二次', '回路', '的', '电路图', '按', '任务', '不同', '可', '分为', '几种']"
按任务不同可分为三种即原理图展开图和安装接线图,0,"['按', '任务', '不同', '可', '分为', '三种', '即', '原理图', '展开', '图', '和', '安装', '接线图']"
看二次图的基本方法,1,"['看', '二次', '图', '的', '基本', '方法']"
先交流后直流交流看电源直流找线圈抓住触点不放松一个一个全查清先上后下先左后右屏外设备一个也不漏,0,"['先', '交流', '后', '直流', '交流', '看', '电源', '直流', '找', '线圈', '抓住', '触点', '不', '放松', '一个', '一个', '全', '查清', '先上', '后', '下', '先', '左后', '右', '屏外', '设备', '一个', '也', '不漏']"
怎样读端子排图,1,"['怎样', '读', '端子', '排图']"
端子排图表示屏内与屏外设备间的连接端子同一个屏内不同安装单位设备间的连接端子以及屏内设备与安装于屏后顶部设备间的连接端子的组合端子排图一般为三列中间列的编号是端子排的顺序号左列是屏内设备的编号右列是指连接电缆的去向和电缆所连接设备接线柱的标号,0,"['端子', '排图', '表示', '屏内', '与', '屏外', '设备', '间', '的', '连接', '端子', '同一个', '屏内', '不同', '安装', '单位', '设备', '间', '的', '连接', '端子', '以及', '屏内', '设备', '与', '安装', '于', '屏后', '顶部', '设备', '间', '的', '连接', '端子', '的', '组合', '端子', '排图', '一般', '为', '三列', '中间', '列', '的', '编号', '是', '端子', '排', '的', '顺序号', '左列', '是', '屏内', '设备', '的', '编号', '右列', '是', '指', '连接', '电缆', '的', '去向', '和', '电缆', '所', '连接', '设备', '接线柱', '的', '标号']"
什么是二次回路标号,1,"['什么', '是', '二次', '回路', '标号']"
为便于安装运行和维护在二次回路中的所有设备间的连线都要进行标号这就是二次回路标号标号一般采用数字或数字和文字的组合它表明了回路的性质和用途,0,"['为', '便于', '安装', '运行', '和', '维护', '在', '二次', '回路', '中', '的', '所有', '设备', '间', '的', '连线', '都', '要', '进行', '标号', '这', '就是', '二次', '回路', '标号', '标号', '一般', '采用', '数字', '或', '数字', '和', '文字', '的', '组合', '它', '表明', '了', '回路', '的', '性质', '和', '用途']"
标号的基本原则是什么,0,"['标号', '的', '基本', '原则', '是', '什么']"
,0,['nan']
回路标号的基本原则是凡是各设备间要用控制电缆经端子排进行联系的都要按回路原则进行标号此外某些装在屏顶上的设备与屏内设备的连接也需要经过端子排此时屏顶设备就可看作是屏外设备而在其连接线上同样按回路编号原则给以相应的标号,0,"['回路', '标号', '的', '基本', '原则', '是', '凡是', '各', '设备', '间', '要', '用', '控制', '电缆', '经', '端子', '排', '进行', '联系', '的', '都', '要', '按', '回路', '原则', '进行', '标号', '此外', '某些', '装在', '屏', '顶上', '的', '设备', '与', '屏内', '设备', '的', '连接', '也', '需要', '经过', '端子', '排', '此时', '屏顶', '设备', '就', '可', '看作', '是', '屏外', '设备', '而', '在', '其', '连接线', '上', '同样', '按', '回路', '编号', '原则', '给', '以', '相应', '的', '标号']"
为了明确起见对直流回路和交流回路采用不同的标号方法而在交直流回路中对各种不同的回路又赋于不同的数字符号因此在二次回路接线图中我们看到标号后就能知道这一回路的性质而便于维护和检修,0,"['为了', '明确', '起见', '对', '直流', '回路', '和', '交流', '回路', '采用', '不同', '的', '标号', '方法', '而', '在', '交直流', '回路', '中', '对', '各种', '不同', '的', '回路', '又', '赋于', '不同', '的', '数字', '符号', '因此', '在', '二次', '回路', '接线图', '中', '我们', '看到', '标号', '后', '就', '能', '知道', '这', '一回', '路', '的', '性质', '而', '便于', '维护', '和', '检修']"
二次回路标号的基本方法是什么,1,"['二次', '回路', '标号', '的', '基本', '方法', '是', '什么']"
用三位或三位以下的数字组成需要标明回路的相别或某些主要特征时可在数字标号的前面或后面增注文字符号,0,"['用', '三位', '或', '三位', '以下', '的', '数字', '组成', '需要', '标明', '回路', '的', '相别', '或', '某些', '主要', '特征', '时', '可', '在', '数字', '标号', '的', '前面', '或', '后面', '增注', '文字', '符号']"
按等电位的原则标注即在电气回路中连于一点上的所有导线包括接触连接的可折线段须标以相同的回路标号,0,"['按', '等', '电位', '的', '原则', '标注', '即', '在', '电气', '回路', '中连于', '一点', '上', '的', '所有', '导线', '包括', '接触', '连接', '的', '可', '折线', '段须', '标以', '相同', '的', '回路', '标号']"
电气设备的触点线圈电阻电容等元件所间隔的线段即看为不同的线段一般给予不同的标号对于在接线图中不经过端子而在屏内直接连接的回路可不标号,0,"['电气设备', '的', '触点', '线圈', '电阻', '电容', '等', '元件', '所', '间隔', '的', '线段', '即', '看', '为', '不同', '的', '线段', '一般', '给予', '不同', '的', '标号', '对于', '在', '接线图', '中', '不', '经过', '端子', '而', '在', '屏内', '直接', '连接', '的', '回路', '可不', '标号']"
简述直流回路的标号细则,1,"['简述', '直流', '回路', '的', '标号', '细则']"
对于不同用途的直流回路使用不同的数字范围如控制和保护回路用及励磁回路用,0,"['对于', '不同', '用途', '的', '直流', '回路', '使用', '不同', '的', '数字', '范围', '如', '控制', '和', '保护', '回路', '用及', '励磁', '回路', '用']"
控制和保护回路使用的数字标号按熔断器所属的回路进行分组每一百个数分为一组如其中每段里面先按正极性回路编为奇数由小到大再编负极性回路偶数由大到小如,0,"['控制', '和', '保护', '回路', '使用', '的', '数字', '标号', '按', '熔断器', '所属', '的', '回路', '进行', '分组', '每', '一百个', '数', '分为', '一组', '如', '其中', '每', '段', '里面', '先', '按', '正', '极性', '回路', '编', '为', '奇数', '由小到大', '再编', '负极', '性', '回路', '偶数', '由大到', '小', '如']"
信号回路的数字标号按事故位置预告指挥信号进行分组按数字大小进行排列,0,"['信号', '回路', '的', '数字', '标号', '按', '事故', '位置', '预告', '指挥', '信号', '进行', '分组', '按', '数字', '大小', '进行', '排列']"
开关设备控制回路的数字标号组应按开关设备的数字序号进行选取例如有个控制开关则对应的控制回路数字标号选所对应的选对应的选,0,"['开关设备', '控制', '回路', '的', '数字', '标号', '组应', '按', '开关设备', '的', '数字', '序号', '进行', '选取', '例如', '有个', '控制', '开关', '则', '对应', '的', '控制', '回路', '数字', '标号', '选所', '对应', '的', '选', '对应', '的', '选']"
正极回路的线段按奇数标号负极回路的线段按偶数标号每经过回路的主要压降元部件如线圈绕组电阻等后即行改变其极性其奇偶顺序即随之改变对不能标明极性或其极性在工作中改变的线段可任选奇数或偶数,0,"['正极', '回路', '的', '线段', '按', '奇数', '标号', '负极', '回路', '的', '线段', '按', '偶数', '标号', '每', '经过', '回路', '的', '主要', '压降', '元', '部件', '如', '线圈', '绕组', '电阻', '等', '后', '即行', '改变', '其', '极性', '其', '奇偶', '顺序', '即', '随之', '改变', '对', '不能', '标明', '极性', '或', '其', '极性', '在', '工作', '中', '改变', '的', '线段', '可', '任选', '奇数', '或', '偶数']"
对于某些特定的主要回路通常给予专用的标号组例如正电源为负电源为合闸回路中的绿灯回路为跳闸回路中的红灯回路编号为等,0,"['对于', '某些', '特定', '的', '主要', '回路', '通常', '给予', '专用', '的', '标号', '组', '例如', '正', '电源', '为', '负', '电源', '为', '合闸', '回路', '中', '的', '绿灯', '回路', '为', '跳闸', '回路', '中', '的', '红灯', '回路', '编号', '为', '等']"
简述交流回路的标号细则,1,"['简述', '交流', '回路', '的', '标号', '细则']"
交流回路按相别顺序标号它除用位数字编号外还加有文字标号以示区别例如,0,"['交流', '回路', '按', '相别', '顺序', '标号', '它', '除', '用位', '数字', '编号', '外', '还', '加有', '文字', '标号', '以示', '区别', '例如']"
电压回路的数字标号应以十位数字为一组如以供一个单独互感器回路标号之用,0,"['电压', '回路', '的', '数字', '标号', '应', '以', '十位', '数字', '为', '一组', '如以', '供', '一个', '单独', '互感器', '回路', '标号', '之用']"
电流互感器和电压互感器的回路均须在分配给它们的数字标号范围内自互感器引出端开始按顺序编号例如的回路标号用的回路标号用等某些特定的交流回路如母线电流差动保护公共回路绝缘监察电压表的公共回路等给予专用的标号组,0,"['电流', '互感器', '和', '电压', '互感器', '的', '回路', '均', '须', '在', '分配', '给', '它们', '的', '数字', '标号', '范围', '内自', '互感器', '引出', '端', '开始', '按', '顺序', '编号', '例如', '的', '回路', '标号', '用', '的', '回路', '标号', '用', '等', '某些', '特定', '的', '交流', '回路', '如', '母线', '电流', '差动', '保护', '公共', '回路', '绝缘', '监察', '电压表', '的', '公共', '回路', '等', '给予', '专用', '的', '标号', '组']"
电流互感器的极性标志方法,1,"['电流', '互感器', '的', '极性', '标志', '方法']"
电流互感器的极性接错将会造成保护的错误动作常用分别表示一二次绕组的同极性端子二次图中标以号根据减极性原则若一次侧电流从流入为正则二次侧电流从流出为正,0,"['电流', '互感器', '的', '极性', '接错', '将', '会', '造成', '保护', '的', '错误', '动作', '常用', '分别', '表示', '一二次', '绕组', '的', '同', '极性', '端子', '二次', '图', '中标', '以号', '根据', '减', '极性', '原则', '若', '一次', '侧', '电流', '从', '流入', '为', '正则', '二次', '侧', '电流', '从', '流出', '为', '正']"
电流互感器误差曲线的含义及用途,1,"['电流', '互感器', '误差', '曲线', '的', '含义', '及', '用途']"
所谓误差曲线是指在比值误差为时一次电流倍数与二次负载的关系曲线理论分析表明按误差曲线选择电流互感器即能满足继电保护的灵敏性和选择性要求,0,"['所谓', '误差', '曲线', '是', '指', '在', '比值', '误差', '为', '时', '一次', '电流', '倍数', '与', '二次', '负载', '的', '关系', '曲线', '理论', '分析表明', '按', '误差', '曲线', '选择', '电流', '互感器', '即能', '满足', '继电保护', '的', '灵敏性', '和', '选择性', '要求']"
,0,['nan']
电流互感器二次负载阻抗的大小对互感器的准确度有很大影响这是因为如果电流互感器的二次负载阻抗增加得很多超出了所容许的二次负载阻抗时励磁电流的数值就会大大增加而使铁芯进入饱和状态在这种情况下一次电流的很大一部分将用来提供励磁电流从而使互感器的误差大为增加其准确度就随之下降了,0,"['电流', '互感器', '二次', '负载', '阻抗', '的', '大小', '对', '互感器', '的', '准确度', '有', '很大', '影响', '这', '是因为', '如果', '电流', '互感器', '的', '二次', '负载', '阻抗', '增加', '得', '很多', '超出', '了', '所', '容许', '的', '二次', '负载', '阻抗', '时', '励磁', '电流', '的', '数值', '就', '会', '大大增加', '而', '使', '铁芯', '进入', '饱和状态', '在', '这种', '情况', '下', '一次', '电流', '的', '很大', '一部分', '将', '用来', '提供', '励磁', '电流', '从而', '使', '互感器', '的', '误差', '大为', '增加', '其', '准确度', '就', '随之', '下降', '了']"
电压互感器的接线方式,1,"['电压', '互感器', '的', '接线', '方式']"
单相电压互感器接线方式如下图所示,0,"['单', '相电压', '互感器', '接线', '方式', '如下', '图', '所示']"
两只单相电压互感器构成形接线方式如下图所示,0,"['两只', '单', '相电压', '互感器', '构成', '形', '接线', '方式', '如下', '图', '所示']"
三只电压互感器构成的星形接线如下图所示,0,"['三只', '电压', '互感器', '构成', '的', '星形', '接线', '如下', '图', '所示']"
三相五柱式电压互感器的接线方式如下图所示,0,"['三相', '五柱式', '电压', '互感器', '的', '接线', '方式', '如下', '图', '所示']"
解释电压互感器电压比的含义,1,"['解释', '电压', '互感器', '电压', '比', '的', '含义']"
电压互感器一般由三只单相电压互感器按的接线方式接线电压比标注为比,0,"['电压', '互感器', '一般', '由', '三只', '单', '相电压', '互感器', '按', '的', '接线', '方式', '接', '线电压', '比', '标注', '为', '比']"
表示电压互感器一二次侧电压一次侧为,0,"['表示', '电压', '互感器', '一二次', '侧', '电压', '一次', '侧为']"
二次侧为即,0,"['二次', '侧为', '即']"
表示电压互感器二次绕组电压即相电压,0,"['表示', '电压', '互感器', '二次', '绕组', '电压', '即', '相电压']"
表示接成开口三角形的三个辅助绕组输出的零序电压一次系统单相接地时每个辅助绕组零序电压为,0,"['表示', '接成', '开口', '三角形', '的', '三个', '辅助', '绕组', '输出', '的', '零序', '电压', '一次', '系统', '单相接地', '时', '每个', '辅助', '绕组', '零序', '电压', '为']"
开口三角形合成零序电压为,0,"['开口', '三角形', '合成', '零序', '电压', '为']"
电压互感器和电流互感器在作用原理上有什么区别,1,"['电压', '互感器', '和', '电流', '互感器', '在', '作用', '原理', '上', '有', '什么', '区别']"
主要区别是正常运行时工作状态很不相同表现为,0,"['主要', '区别', '是', '正常', '运行', '时', '工作', '状态', '很', '不', '相同', '表现', '为']"
电流互感器二次可以短路但不得开路电压互感器二次可以开路但不得短路,0,"['电流', '互感器', '二次', '可以', '短路', '但', '不得', '开路', '电压', '互感器', '二次', '可以', '开路', '但', '不得', '短路']"
